float,published_numbers,covered,reproduced_by_rewrite,reproduced_by_archive
table_1,216,216,216,216
table_2,80,80,80,80
figure_1,0,0,NA,NA
figure_2,0,0,NA,NA
appendix_table_1,224,224,192,224
appendix_table_2,175,175,150,175
appendix_table_3,182,182,156,182
appendix_table_4,224,224,192,224
appendix_table_5,182,182,156,182
appendix_table_6,224,224,192,224
appendix_table_7,224,224,192,224
appendix_table_8,140,140,120,140
appendix_table_9,224,224,192,224
appendix_table_10,224,224,192,224
appendix_table_11,224,224,160,224
appendix_table_12,224,224,192,224
appendix_table_13,224,224,192,224
appendix_table_14,224,224,192,224
appendix_table_15,224,224,192,224
appendix_table_16,224,224,160,224
appendix_table_17,140,140,120,140
appendix_table_18,168,168,124,168
appendix_table_19,224,224,192,224
appendix_table_20,210,210,180,210
appendix_table_21,182,182,156,182
appendix_table_22,224,224,192,224
appendix_table_23,224,224,192,224
appendix_table_24,224,224,192,224
appendix_table_25,98,98,70,98
appendix_table_26,224,224,192,224
appendix_table_27,224,224,192,224
