appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop
1,Bergan (2012),original,Age: 18 - 39,-0.22,0.22,0.32,-0.65,0.21,139,0.18
1,Bergan (2012),original,Age: 40 - 59,-0.20,0.17,0.24,-0.55,0.14,134,0.17
1,Bergan (2012),original,Age: More than 60,0.12,0.23,0.61,-0.34,0.58,123,0.16
1,Bergan (2012),original,Party ID: Democrat,0.16,0.18,0.35,-0.18,0.51,206,0.26
1,Bergan (2012),original,Party ID: Independent,0.90,0.44,0.07,-0.07,1.86,14,0.02
1,Bergan (2012),original,Party ID: Republican,-0.54,0.17,0.00,-0.88,-0.21,176,0.22
1,Bergan (2012),original,Race: White,-0.17,0.13,0.19,-0.41,0.08,285,0.36
1,Bergan (2012),original,Race: Nonwhite,-0.06,0.27,0.83,-0.59,0.48,111,0.14
1,Bergan (2012),original,Education: Less than College,-0.19,0.15,0.19,-0.48,0.10,283,0.36
1,Bergan (2012),original,Education: College,0.18,0.27,0.50,-0.36,0.73,66,0.08
1,Bergan (2012),original,Education: Graduate School,-0.39,0.33,0.24,-1.06,0.28,47,0.06
1,Bergan (2012),original,Gender: Male,-0.04,0.16,0.81,-0.36,0.28,204,0.26
1,Bergan (2012),original,Gender: Female,-0.22,0.18,0.22,-0.58,0.14,192,0.24
1,Bergan (2012),original,Ideology: Liberal,0.44,0.21,0.04,0.02,0.86,113,0.14
1,Bergan (2012),original,Ideology: Moderate,-0.01,0.18,0.94,-0.37,0.34,134,0.17
1,Bergan (2012),original,Ideology: Conservative,-0.72,0.22,0.00,-1.15,-0.29,149,0.19
1,Bergan (2012),mt,Age: 18 - 39,0.37,0.09,0.00,0.20,0.54,480,0.41
1,Bergan (2012),mt,Age: 40 - 59,-0.15,0.21,0.46,-0.56,0.26,91,0.08
1,Bergan (2012),mt,Age: More than 60,0.15,0.53,0.78,-0.98,1.28,16,0.01
1,Bergan (2012),mt,Party ID: Democrat,0.51,0.10,0.00,0.32,0.71,375,0.32
1,Bergan (2012),mt,Party ID: Independent,0.10,0.20,0.64,-0.31,0.50,84,0.07
1,Bergan (2012),mt,Party ID: Republican,-0.39,0.18,0.03,-0.74,-0.04,128,0.11
1,Bergan (2012),mt,Race: White,0.23,0.09,0.01,0.05,0.41,461,0.39
1,Bergan (2012),mt,Race: Nonwhite,0.36,0.17,0.04,0.02,0.70,126,0.11
1,Bergan (2012),mt,Education: Less than College,0.32,0.11,0.00,0.10,0.54,311,0.26
1,Bergan (2012),mt,Education: College,0.04,0.13,0.78,-0.22,0.29,223,0.19
1,Bergan (2012),mt,Education: Graduate School,0.76,0.26,0.00,0.24,1.27,53,0.05
1,Bergan (2012),mt,Gender: Male,0.21,0.11,0.06,-0.01,0.42,327,0.28
