study_label,group_label,difference,estimate_mt,conf.low_mt,conf.high_mt,estimate_original,conf.low_original,conf.high_original
Bergan (2012),Age: 18 - 39,Significant,0.3725820776259688,0.20154163635899217,0.5436225188929455,-0.21889940109392905,-0.6524338635885917,0.21463506140073357
Bergan (2012),Age: 40 - 59,Not Significant,-0.15426157158759343,-0.5638125538138602,0.2552894106386734,-0.2040850238597895,-0.5496239338609183,0.1414538861413394
Bergan (2012),Age: More than 60,Not Significant,0.15158651543289536,-0.9817526354818816,1.2849256663476725,0.1203144437216995,-0.3414545946078942,0.5820834820512932
Bergan (2012),College,Not Significant,0.03534577686744471,-0.21658487437281015,0.2872764281076996,0.18489191253878143,-0.3581334773388326,0.7279173024163955
Bergan (2012),Graduate School,Significant,0.7557732250927827,0.2431894737343846,1.2683569764511806,-0.39109283287629154,-1.0582465497270213,0.2760608839744381
Bergan (2012),Less than College,Significant,0.31885352940030826,0.09739181836478056,0.540315240435836,-0.1909168337531664,-0.4793471739793912,0.09751350647305844
Bergan (2012),Men,Not Significant,0.2053297916471385,-0.0090002074499719,0.41965979074424886,-0.03958233454366623,-0.36288087851001977,0.2837162094226873
Bergan (2012),Women,Significant,0.29168920393905595,0.0587389512555978,0.5246394566225141,-0.22065544758743735,-0.5777128892178981,0.13640199404302333
Bergan (2012),Conservative,Not Significant,-0.4834329098736343,-0.843233642598455,-0.12363217714881364,-0.7198530377523384,-1.145999541396118,-0.29370653410855874
Bergan (2012),Liberal,Not Significant,0.5006787363537963,0.2956229148956614,0.7057345578119313,0.4384422042334805,0.01715395502146538,0.8597304534454957
Bergan (2012),Moderate,Not Significant,0.2483765540032236,-0.08127635598325,0.5780294639896972,-0.0125363423449868,-0.3655757990493754,0.34050311435940184
Bergan (2012),Democrat,Not Significant,0.5122221936406313,0.31920073348216305,0.7052436537990995,0.1649433817013098,-0.1810239152587395,0.5109106786613591
Bergan (2012),Independent,Not Significant,0.095885662435989,-0.3106445823155359,0.5024159071875138,0.8967080987471204,-0.07021135713998095,1.8636275546342216
Bergan (2012),Republican,Not Significant,-0.39137286783653313,-0.7428438354124804,-0.03990190026058587,-0.541767931412616,-0.8756495484880273,-0.20788631433720473
Bergan (2012),Nonwhite,Not Significant,0.3584697056075653,0.01698416266824232,0.6999552485468883,-0.05639546173924871,-0.5890177340486232,0.47622681057012584
Bergan (2012),White,Significant,0.22860916209004703,0.04905296046113031,0.40816536371896384,-0.16506550008095783,-0.414495912168109,0.08436491200619331
Brandt (2013),Age: 18 - 39,Not Significant,-0.7850264413656078,-0.8934665506052287,-0.676586332125987,-0.44355540685259426,-0.8205065262560529,-0.06660428744913555
Brandt (2013),Age: 40 - 59,Significant,-0.7962247390288842,-0.9933141822553532,-0.5991352958024152,-0.3658724611504097,-0.6464800809640066,-0.08526484133681284
Brandt (2013),Age: More than 60,Not Significant,-0.5143878441465483,-1.011594730825649,-0.01718095746744752,-0.4683661676627634,-0.8119641257425549,-0.12476820958297193
Brandt (2013),College,Not Significant,-0.7753880684688951,-0.9269071708063056,-0.6238689661314847,-0.5969140777332985,-1.0543087787043102,-0.13951937676228693
Brandt (2013),Graduate School,Significant,-0.579992072143566,-0.8810670428102714,-0.2789171014768606,0.15397494764113212,-0.4465466575366937,0.754496552818958
Brandt (2013),Less than College,Significant,-0.8098971739482571,-0.9421641325962168,-0.6776302153002973,-0.42775085728599693,-0.6641823407888291,-0.19131937378316477
Brandt (2013),Men,Significant,-0.7135347916261149,-0.845882703905029,-0.5811868793472008,-0.302050964965421,-0.6090453178480346,0.00494338791719256
Brandt (2013),Women,Significant,-0.8303602927337691,-0.9646695447299514,-0.6960510407375868,-0.4910764212992479,-0.7425472224346159,-0.23960562016387987
Brandt (2013),Democrat,Not Significant,-0.7675620879612867,-0.8860802029934052,-0.6490439729291682,-0.531383907428438,-0.8076972300568062,-0.2550705848000698
Brandt (2013),Independent,Significant,-0.7228607392929248,-0.9953126062313692,-0.4504088723544803,0.4871030927813681,-0.6256370686273208,1.599843254190057
Brandt (2013),Republican,Significant,-0.7803765428817366,-0.9690693486999375,-0.5916837370635357,-0.32630112981267595,-0.629791263436484,-0.022810996188868
Brandt (2013),Nonwhite,Not Significant,-0.6637290455466135,-0.8854252257152737,-0.4420328653779533,-0.38462998648502467,-0.7762164501206739,0.00695647715062452
Brandt (2013),White,Significant,-0.809944869232351,-0.9132912249085042,-0.7065985135561977,-0.4096788646052736,-0.6310363300963561,-0.1883213991141911
Caprariello and Reis (2013),Age: 18 - 39,Not Significant,-0.14066558319311098,-0.2616568237422455,-0.01967434264397641,-0.41774769151208224,-0.9752185356088312,0.1397231525846666
Caprariello and Reis (2013),Age: 40 - 59,Not Significant,-0.06519153477588255,-0.31521768058083877,0.18483461102907364,-0.15142770178045514,-0.6153442586884558,0.31248885512754554
Caprariello and Reis (2013),Age: More than 60,Not Significant,-0.19441667121931855,-0.7760268915317212,0.387193549093084,-0.07330238537072883,-0.4680790125736263,0.32147424183216855
Caprariello and Reis (2013),College,Not Significant,-0.07055058365589928,-0.24311293914255025,0.10201177183075166,-0.49174955287213223,-1.0917579814826597,0.10825887573839504
Caprariello and Reis (2013),Graduate School,Not Significant,-0.1821605153594941,-0.528508042047149,0.1641870113281608,-0.7749894559513979,-1.499328467946321,-0.05065044395647489
Caprariello and Reis (2013),Less than College,Not Significant,-0.14989659619853127,-0.2976520581325999,-0.00214113426446266,-0.08674867957816632,-0.4340785047792294,0.2605811456228967
Caprariello and Reis (2013),Men,Not Significant,-0.06183635141492646,-0.21460053026124307,0.09092782743139012,-0.3069150579379351,-0.6898580876621316,0.07602797178626142
Caprariello and Reis (2013),Women,Not Significant,-0.1944545404392763,-0.3442350977780456,-0.04467398310050696,-0.16952432473630047,-0.6012888556354727,0.2622402061628718
Caprariello and Reis (2013),Conservative,Not Significant,-0.10242589531459408,-0.3485616869728138,0.14370989634362563,-0.11386841625471368,-0.5238898262257442,0.29615299371631687
Caprariello and Reis (2013),Liberal,Not Significant,-0.07098199510069754,-0.20964377597816175,0.06767978577676668,-0.5838669839971863,-1.1812777649767945,0.01354379698242203
Caprariello and Reis (2013),Moderate,Not Significant,-0.2806097765592767,-0.5113541641850761,-0.04986538893347736,-0.133063620080539,-0.6228040188444045,0.3566767786833265
Caprariello and Reis (2013),Democrat,Not Significant,-0.07611515656226037,-0.20966294812357683,0.0574326349990561,-0.4871459650280838,-0.9099828929479478,-0.06430903710821989
Caprariello and Reis (2013),Independent,Not Significant,-0.23942053029786453,-0.5644513563021673,0.08561029570643819,4.418875555867592e-4,-0.8727040350697771,0.8735878101809506
Caprariello and Reis (2013),Republican,Not Significant,-0.1889922971611223,-0.4027016317874791,0.02471703746523443,0.0527347482507759,-0.36268254030166747,0.46815203680321926
Caprariello and Reis (2013),Nonwhite,Not Significant,-0.0640540348922667,-0.29515321926734195,0.16704514948280852,-0.1272793230657272,-0.7308471277122581,0.4762884815808037
Caprariello and Reis (2013),White,Not Significant,-0.14666328630822567,-0.26706252489931104,-0.02626404771714031,-0.2890596480957247,-0.6063722568608991,0.02825296066944971
Epley et al. (2009),Age: 18 - 39,Not Significant,0.09975762669364369,-0.03092529125195119,0.23044054463923852,0.23585950241814516,-0.08984876384044663,0.561567768676737
Epley et al. (2009),Age: 40 - 59,Not Significant,-0.15348932891841607,-0.472367921361182,0.16538926352434982,0.295536574484654,-0.04302555746659392,0.6340987064359018
Epley et al. (2009),Age: More than 60,Not Significant,0.17550747887915974,-0.5000193707607551,0.8510343285190746,0.3543462145973579,-0.13629222977764038,0.8449846589723562
Epley et al. (2009),College,Not Significant,0.1918046019179386,-0.01603948366915161,0.3996486875050288,0.07434129282272714,-0.4687510773284115,0.6174336629738658
Epley et al. (2009),Graduate School,Not Significant,0.21020536860600111,-0.18260135970434663,0.6030120969163488,0.6567584632958158,0.0012843392558608,1.3122325873357708
Epley et al. (2009),Less than College,Significant,-0.03751151588308346,-0.19994669473578955,0.12492366296962262,0.2886898699777346,0.04255829903772307,0.5348214409177461
Epley et al. (2009),Men,Significant,0.11620334826080764,-0.0372239086843476,0.2696306052059629,0.45301707517542766,0.16360165129950627,0.7424324990513491
Epley et al. (2009),Women,Not Significant,0.01911310682333394,-0.16938401439430573,0.2076102280409736,0.12864420921059053,-0.17455405804268545,0.4318424764638666
Epley et al. (2009),Nonwhite,Not Significant,0.1280553220351986,-0.12651828218618505,0.38262892625658224,0.39469067791419127,-0.01249895178062249,0.8018803076090051
Epley et al. (2009),White,Not Significant,0.05216730679444967,-0.08449502956375346,0.1888296431526528,0.2333939582472956,-0.01213726641762419,0.4789251829122154
Peffley and Hurwitz (2007),Age: 18 - 39,Not Significant,-0.11093250818041052,-0.21658074087998808,-0.00528427548083297,-0.384135968822338,-0.6561523358122094,-0.1121196018324666
Peffley and Hurwitz (2007),Age: 40 - 59,Significant,-0.04824605890056455,-0.2667928661362934,0.17030074833516431,-0.4397728055682912,-0.7524650205937342,-0.1270805905428482
Peffley and Hurwitz (2007),Age: More than 60,Not Significant,-0.1280232117195366,-0.588855500673349,0.3328090772342758,-0.3318550874521676,-0.6400825531574073,-0.02362762174692784
Peffley and Hurwitz (2007),College,Not Significant,-0.09538631635429036,-0.23388597187807408,0.04311333916949336,-0.4043779297266203,-0.7645464206576698,-0.04420943879557088
Peffley and Hurwitz (2007),Graduate School,Not Significant,0.04290785734763937,-0.21373847360325868,0.2995541882985374,0.15844584220307734,-0.3958210236919475,0.7127127080981022
Peffley and Hurwitz (2007),Less than College,Significant,-0.1699158646924168,-0.31517949839295956,-0.02465223099187405,-0.48177876699553673,-0.6971710512124825,-0.266386482778591
Peffley and Hurwitz (2007),Men,Not Significant,-0.1644781661008377,-0.2880425983213462,-0.04091373388032919,-0.48402155921709816,-0.7836793196142923,-0.18436379881990408
Peffley and Hurwitz (2007),Women,Significant,-0.01651057971831254,-0.15864534982559603,0.12562419038897096,-0.3599680956732899,-0.5857562711025883,-0.13417992024399153
Peffley and Hurwitz (2007),Conservative,Not Significant,-0.14211595253216472,-0.350466856603988,0.06623495153965858,-0.3384208630321764,-0.7177501863586022,0.04090846029424944
Peffley and Hurwitz (2007),Liberal,Not Significant,-0.11885824489161546,-0.25619075142099973,0.01847426163776878,-0.3340131347660334,-0.629271703109489,-0.03875456642257774
Peffley and Hurwitz (2007),Moderate,Significant,-0.03939706222904396,-0.180850766190987,0.10205664173289908,-0.47844035072670343,-0.7396954009898602,-0.21718530046354667
Peffley and Hurwitz (2007),Nonwhite,Not Significant,-0.14765035815456612,-0.2979351528114411,0.00263443650230885,-0.367504939504681,-0.6596122577831003,-0.0753976212262617
Peffley and Hurwitz (2007),White,Significant,-0.08248180287535883,-0.20005329503961256,0.03508968928889487,-0.31247765695407037,-0.4737972325746293,-0.15115808133351144
Denny (2012),Age: 18 - 39,Not Significant,0.0884963197965882,-0.14471350910321593,0.32170614869639236,0.5104685379975997,-0.01581174416807929,1.0367488201632789
Denny (2012),Age: 40 - 59,Not Significant,0.1799226886221824,-0.35547347186860545,0.7153188491129703,0.35004549002421165,-0.03559624110776882,0.7356872211561921
Denny (2012),Age: More than 60,Not Significant,-0.5623630081586352,-1.9607677811009916,0.8360417647837214,-0.40334406134709233,-1.258929127671209,0.4522410049770243
Denny (2012),College,Not Significant,0.1319831549760065,-0.19174021156150567,0.45570652151351865,0.7493791447636876,0.13187372996682944,1.3668845595605457
Denny (2012),Graduate School,Not Significant,-0.27387808838894473,-1.0709541134793683,0.523197936701479,0.11766034183941572,-0.5324229194380896,0.7677436031169211
Denny (2012),Less than College,Not Significant,0.13123325068636968,-0.1607686000167537,0.42323510138949305,0.2572592845886585,-0.12362684584140617,0.6381454150187231
Denny (2012),Men,Not Significant,-0.11160942685439156,-0.3952961562221617,0.17207730251337855,0.23672720891764465,-0.2229492102116981,0.6964036280469874
Denny (2012),Women,Not Significant,0.2674075919009201,-0.03673534725672467,0.5715505310585649,0.4911832611719358,0.11249496370885076,0.8698715586350207
Denny (2012),Conservative,Not Significant,0.07029537601982938,-0.35309384173777336,0.4936845937774321,0.3386064396235625,-0.13298563635404975,0.8101985156011748
Denny (2012),Liberal,Significant,0.14456143622545656,-0.14087634567057158,0.4299992181214846,0.7941614103702951,0.2159523159287342,1.372370504811856
Denny (2012),Moderate,Not Significant,-0.125171121170793,-0.5825260852800009,0.332183842938415,-0.03629244918746616,-0.51348981841365815,0.44090492003872583
Denny (2012),Democrat,Not Significant,0.07839249563473338,-0.1892862076235151,0.3460711988929819,0.5378166177284008,0.13313345318763997,0.9424997822691616
