study,study_label,reported_mt_n,reported_original_n,analysis_obs_mt_n,analysis_obs_original_n,reported_total_n,analysis_obs_total_n,analysis_share_of_reported
berganS20,Bergan (2012),1913,1206,587,396,3119,983,0.3151651170246874
immigration,Brader (2005),1709,280,1709,280,1989,1989,1
brandtS1,Brandt (2013),3131,1225,1572,625,4356,2197,0.5043617998163453
caprarielloS2,Caprariello and Reis (2013),2729,825,1282,399,3554,1681,0.47298818232976925
patriot_act,Chong and Druckman (2010),1400,958,1400,958,2358,2358,1
system_threat,Craig and Richeson (2014),847,608,709,608,1455,1317,0.9051546391752577
dennyS17,Denny (2012),1913,1733,301,293,3646,594,0.16291826659352715
converseS16,Epley et al. (2009),1913,1019,893,508,2932,1401,0.47783083219645295
flavinS4,Flavin (2011),2729,2015,1003,770,4744,1773,0.37373524451939294
gashS5,Gash and Murakami (2009),3131,1022,1519,496,4153,2015,0.48519142788345776
free_trade,Hiscox (2006),2972,1610,2972,1610,4582,4582,1
frame_breadth,Hopkins and Mummolo (2017),2972,3266,2972,3266,6238,6238,1
jacobsenS7,"Jacobsen, Snyder and Saultz (2014)",3171,1111,992,542,4282,1534,0.3582438113031294
expert_economists,Johnston and Ballard (2016),2985,2045,14925,2045,5030,16970,3.3737574552683895
polarization,Levendusky and Malhotra (2015),1987,1053,1987,1053,3040,3040,1
mental_illness,"McGinty, Webster and Barry (2013)",2985,2935,2487,2935,5920,5422,0.9158783783783784
melloS6,Murtagh et al. (2012),3131,2112,369,271,5243,640,0.12206751859622354
elite_endorsements,Nicholson (2012),1099,781,1099,781,1880,1880,1
parmerS15,Parmer (2011),3277,521,2087,519,3798,2606,0.6861506055818852
pedullaS18,Pedulla (2014),1913,1407,346,274,3320,620,0.18674698795180722
death_penalty,Peffley and Hurwitz (2007),1285,905,1285,905,2190,2190,1
piazzaS8,Piazza (2015),3171,1135,859,443,4306,1302,0.30236878773803993
shaferS9,Shafer (2017),2729,2592,840,870,5321,1710,0.3213681638789701
thompsonS10,Thompson and Schlehofer (2014),3277,591,1345,400,3868,1745,0.4511375387797311
superordinate_id,Transue (2007),367,345,367,345,712,712,1
turagaS11,Turaga (2010),3277,774,682,497,4051,1179,0.2910392495680079
wallaceS12,Wallace (2011),2729,2929,454,467,5658,921,0.1627783669141039
