study_label,original_n,mt_n,slope,slope_se,ci_low,ci_high,n_comparisons,f_p_value,slope_display,ci_display
Bergan (2012),1206,1913,0.7471280505741046,0.19733228985239604,0.37039969824905294,1.1238564028991562,16,0.09247733158162176,0.75 (0.20),"[0.37, 1.12]"
Brader (2005),280,1709,3.559764900419751,1.6763404563779203,-30.744016691168184,37.863546492007686,12,0.6884019860540865,3.56 (1.68),"[-30.74, 37.86]"
Brandt (2013),1225,3131,4.493207119839969,1.9587351268229076,-6.2460988254270315,15.23251306510697,13,0.20076878911609627,4.49 (1.96),"[-6.25, 15.23]"
Caprariello and Reis (2013),825,2729,-4.379764756302401,2.002733299741626,-7.82850296456607,-0.9310265480387323,16,0.6251755989039465,-4.38 (2.00),"[-7.83, -0.93]"
Chong and Druckman (2010),958,1400,0.17006741327069633,0.18381917255963567,-0.583544625882182,0.9236794524235746,13,0.6146421804907913,0.17 (0.18),"[-0.58, 0.92]"
Craig and Richeson (2014),608,847,-0.9496920678576612,0.36255064456610137,-1.557118416316273,-0.3422657193990496,16,0.24299747743209033,-0.95 (0.36),"[-1.56, -0.34]"
Denny (2012),1733,1913,2.829097610126549,1.0412025397557654,1.1900017462797143,4.4681934739733835,16,0.5870468017026278,2.83 (1.04),"[1.19, 4.47]"
Epley et al. (2009),1019,1913,0.6814542341060215,0.6429586440245746,-2.5196970108300576,3.882605479042101,10,0.13685210689439664,0.68 (0.64),"[-2.52, 3.88]"
Flavin (2011),2015,2729,0.23230168072964422,0.2015184248764448,-0.15466720646427787,0.6192705679235663,16,0.05672915632863037,0.23 (0.20),"[-0.15, 0.62]"
Gash and Murakami (2009),1022,3131,2.77618407932911,1.005309776227911,1.5925567586210807,3.9598114000371396,16,0.7329393064379686,2.78 (1.01),"[1.59, 3.96]"
Hiscox (2006),1610,2972,2.5034926888198776,1.067811336589564,0.9397111258781659,4.06727425176159,16,0.9597449337376632,2.50 (1.07),"[0.94, 4.07]"
Hopkins and Mummolo (2017),3266,2972,-1.8444161934992844,0.8532883994328798,-4.060606451202155,0.37177406420358583,16,0.27355605162835606,-1.84 (0.85),"[-4.06, 0.37]"
"Jacobsen, Snyder and Saultz (2014)",1111,3171,-4.729146487230602,1.986511738020988,-8.322433891248714,-1.1358590832124889,16,0.09424929571755106,-4.73 (1.99),"[-8.32, -1.14]"
Johnston and Ballard (2016),2045,2985,0.13442599143828043,0.527264164429089,-0.2610085445460209,0.5298605274225818,16,0.05689136060608961,0.13 (0.53),"[-0.26, 0.53]"
Levendusky and Malhotra (2015),1053,1987,-0.15615347787104242,0.35299769066112496,-1.5002346298786853,1.1879276741366003,16,0.01157082932631677,-0.16 (0.35),"[-1.50, 1.19]"
"McGinty, Webster and Barry (2013)",2935,2985,2.528764687260603,1.101874701842944,1.0873729580254514,3.9701564164957546,16,0.7151786201190139,2.53 (1.10),"[1.09, 3.97]"
Murtagh et al. (2012),2112,3131,0.3386785866617139,0.33891893294934555,-0.20226531627563804,0.8796224895990659,10,0.9791100939709164,0.34 (0.34),"[-0.20, 0.88]"
Nicholson (2012),781,1099,-23.054886589260175,16.20772191722588,-396.6871900494358,350.5774168709155,12,0.9434271826322298,-23.05 (16.21),"[-396.69, 350.58]"
Parmer (2011),521,3277,1.710900646696721,0.7521117359531969,-0.11779883129710456,3.5396001246905464,16,0.6089687147630449,1.71 (0.75),"[-0.12, 3.54]"
Pedulla (2014),1407,1913,-57.93413985176515,17.896563949941765,-363.42241290170335,247.55413319817302,15,0.7273772701012677,-57.93 (17.90),"[-363.42, 247.55]"
Peffley and Hurwitz (2007),905,1285,2.2255066669075663,1.1682235551898483,-1.0848625526156943,5.535875886430826,13,0.18913974616774065,2.23 (1.17),"[-1.08, 5.54]"
Piazza (2015),1135,3171,-2.1534129468673413,0.7382139981537584,-3.8332821750149124,-0.47354371871976997,16,0.8139410417960355,-2.15 (0.74),"[-3.83, -0.47]"
Shafer (2017),2592,2729,-24.132186512753652,9.74841123152072,-162.31098687248868,114.04661384698137,16,0.4916627455264787,-24.13 (9.75),"[-162.31, 114.05]"
Thompson and Schlehofer (2014),591,3277,0.23972139993254157,0.59970236852808,-1.0757443809397897,1.555187180804873,16,0.6810969843381468,0.24 (0.60),"[-1.08, 1.56]"
Transue (2007),345,367,-1.6749769039179223,1.0156269818177526,-7.5224589521180025,4.172505144282157,7,0.2893870075379867,-1.67 (1.02),"[-7.52, 4.17]"
Turaga (2010),774,3277,1.4392842983001992,0.5376241250098094,-0.859754267482457,3.738322864082855,16,0.7327757358401131,1.44 (0.54),"[-0.86, 3.74]"
Wallace (2011),2929,2729,4.736677620792862,1.8635544590281852,-7.960359431906917,17.43371467349264,16,0.00181590989802275,4.74 (1.86),"[-7.96, 17.43]"
