file,dataverse_file_id,file_persistent_id,bytes,md5_served,md5_published,unf,served_as
replication_archive/CLM_PNAS_FINAL_FIGURE1.pdf,3301976,doi:10.7910/DVN/4WNGEJ/HFKKJN,26833,9b64f0cb82ea306a0747f81f3caffd3f,9b64f0cb82ea306a0747f81f3caffd3f,,CLM_PNAS_FINAL_FIGURE1.pdf
replication_archive/CLM_PNAS_FINAL_FIGURE2.pdf,3301975,doi:10.7910/DVN/4WNGEJ/W5MGQV,27320,c06a5d8b68fe3a5e8c7db25c98c41756,c06a5d8b68fe3a5e8c7db25c98c41756,,CLM_PNAS_FINAL_FIGURE2.pdf
replication_archive/CLM_appendix.R,3301966,doi:10.7910/DVN/4WNGEJ/UUCA2M,3368,992ef0bc0c98f68f9eb651bc1cc439ee,992ef0bc0c98f68f9eb651bc1cc439ee,,CLM_appendix.R
replication_archive/CLM_estimate_CATEs.R,3301969,doi:10.7910/DVN/4WNGEJ/UUJQYC,15660,3bb8b2108fba8e5977d17ddc8bc51436,3bb8b2108fba8e5977d17ddc8bc51436,,CLM_estimate_CATEs.R
replication_archive/CLM_f_tests.R,3301937,doi:10.7910/DVN/4WNGEJ/NG1HXF,15522,37bc9c9bee8f078dd6c8e9e09186fb59,37bc9c9bee8f078dd6c8e9e09186fb59,,CLM_f_tests.R
replication_archive/CLM_f_tests_df.rds,3301964,doi:10.7910/DVN/4WNGEJ/U5WQUQ,937,9526fce6ed8cc5be85f8411f71dde32d,9526fce6ed8cc5be85f8411f71dde32d,,CLM_f_tests_df.rds
replication_archive/CLM_figures.R,3301950,doi:10.7910/DVN/4WNGEJ/BSGVNO,1898,677b867c3f62e48f548be03b6c4d7850,677b867c3f62e48f548be03b6c4d7850,,CLM_figures.R
replication_archive/CLM_in_text_figures.R,3301963,doi:10.7910/DVN/4WNGEJ/CTQB4L,1571,b2a3a0674bac4a149fe7cfdbc0afe28e,b2a3a0674bac4a149fe7cfdbc0afe28e,,CLM_in_text_figures.R
replication_archive/CLM_results.rds,3301952,doi:10.7910/DVN/4WNGEJ/TCFPL5,344839,962e38234c686eba884a7f8e0407703f,962e38234c686eba884a7f8e0407703f,,CLM_results.rds
replication_archive/CLM_scatter_df.rds,3301962,doi:10.7910/DVN/4WNGEJ/XOB1MF,99398,5b2058b1a00c3574d331e9b2cb19d8c6,5b2058b1a00c3574d331e9b2cb19d8c6,,CLM_scatter_df.rds
replication_archive/CLM_study_labels.R,3301953,doi:10.7910/DVN/4WNGEJ/JBG1DV,1860,cbc22f1295bb086efcc77e4aa1c222bc,cbc22f1295bb086efcc77e4aa1c222bc,,CLM_study_labels.R
replication_archive/CLM_study_labels_df.rds,3301972,doi:10.7910/DVN/4WNGEJ/AXF9Q9,2530,4fb0f00676d2d64b8f502cec1906f538,4fb0f00676d2d64b8f502cec1906f538,,CLM_study_labels_df.rds
replication_archive/CLM_study_ns_df.rds,3301959,doi:10.7910/DVN/4WNGEJ/JKAQ0Y,2855,90e96984f2b1bc81bfb38ecb087bcbe4,90e96984f2b1bc81bfb38ecb087bcbe4,,CLM_study_ns_df.rds
replication_archive/CLM_study_summaries.R,3301968,doi:10.7910/DVN/4WNGEJ/CWMTUF,6240,9ba37a28061150fe0e0a8fd480dea70f,9ba37a28061150fe0e0a8fd480dea70f,,CLM_study_summaries.R
replication_archive/CLM_tables.R,3301946,doi:10.7910/DVN/4WNGEJ/OUZSMN,3503,5e9bfa34e5ba7970de2f2518cdbf4b1c,5e9bfa34e5ba7970de2f2518cdbf4b1c,,CLM_tables.R
replication_archive/README.txt,3301979,doi:10.7910/DVN/4WNGEJ/NCAK0A,1495,e5ad336f4d999d14b21d9f206de81962,e5ad336f4d999d14b21d9f206de81962,,README.txt
replication_archive/appendix_tables.tex,3301973,doi:10.7910/DVN/4WNGEJ/ZP1K4L,71196,f2a5ad33eaa22e5e39c7414950d1a84e,f2a5ad33eaa22e5e39c7414950d1a84e,,appendix_tables.tex
replication_archive/berganS20_stacked.rds,3301980,doi:10.7910/DVN/4WNGEJ/EBHFB0,33113,e6af6cca27f8e19052c4f305fb2c1218,e6af6cca27f8e19052c4f305fb2c1218,,berganS20_stacked.rds
replication_archive/brandtS1_stacked.rds,3301960,doi:10.7910/DVN/4WNGEJ/ECHIQS,43921,6fca47c1fc511cd478e1c115541be6eb,6fca47c1fc511cd478e1c115541be6eb,,brandtS1_stacked.rds
replication_archive/caprarielloS2_stacked.rds,3301961,doi:10.7910/DVN/4WNGEJ/LRG5VC,35904,33378b5719b9b4a7b2a24a8ab5bb53c9,33378b5719b9b4a7b2a24a8ab5bb53c9,,caprarielloS2_stacked.rds
replication_archive/converseS16_stacked.rds,3301974,doi:10.7910/DVN/4WNGEJ/R0TVAC,29155,782547d8b151dfe2f166f42015e5e63c,782547d8b151dfe2f166f42015e5e63c,,converseS16_stacked.rds
replication_archive/death_penalty_stacked.rds,3301981,doi:10.7910/DVN/4WNGEJ/GTAEPE,810497,5deac473c3bb75df19b122130efe3766,5deac473c3bb75df19b122130efe3766,,death_penalty_stacked.rds
replication_archive/dennyS17_stacked.rds,3301949,doi:10.7910/DVN/4WNGEJ/TGOLAV,36715,7577f40cb45e736932911c8ba23f6e63,7577f40cb45e736932911c8ba23f6e63,,dennyS17_stacked.rds
replication_archive/elite_endorsements_stacked.rds,3301936,doi:10.7910/DVN/4WNGEJ/7GW4YM,880926,32c2d9b60d13012f194668aa31d486ec,32c2d9b60d13012f194668aa31d486ec,,elite_endorsements_stacked.rds
replication_archive/expert_economists_stacked_long.rds,3301958,doi:10.7910/DVN/4WNGEJ/DPJBMC,6184453,cc690fd11fff6a31991f46b2f14c0fe0,cc690fd11fff6a31991f46b2f14c0fe0,,expert_economists_stacked_long.rds
replication_archive/flavinS4_stacked.rds,3301942,doi:10.7910/DVN/4WNGEJ/ZFO6V8,48025,1e3700a2ee965a94abd9268aab10538a,1e3700a2ee965a94abd9268aab10538a,,flavinS4_stacked.rds
replication_archive/frame_breadth_stacked.rds,3301954,doi:10.7910/DVN/4WNGEJ/DMWONN,4075656,3aa666721a0a241bfc87eaa28ef7f761,3aa666721a0a241bfc87eaa28ef7f761,,frame_breadth_stacked.rds
replication_archive/free_trade_stacked.rds,3301938,doi:10.7910/DVN/4WNGEJ/ZEPVZ2,2001882,4f7f99a770c89842ece50d8cba4eb6bb,4f7f99a770c89842ece50d8cba4eb6bb,,free_trade_stacked.rds
replication_archive/gashS5_stacked.rds,3301940,doi:10.7910/DVN/4WNGEJ/WLTTN1,41461,0655fb7d812e2d9ff929053a7fef04e7,0655fb7d812e2d9ff929053a7fef04e7,,gashS5_stacked.rds
replication_archive/group_table.tex,3301956,doi:10.7910/DVN/4WNGEJ/9BCPQB,916,4d0ee645b8b57a50d9809cc407bdc175,4d0ee645b8b57a50d9809cc407bdc175,,group_table.tex
replication_archive/immigration_stacked.rds,3301945,doi:10.7910/DVN/4WNGEJ/5EKJCY,627268,1af7870da7c46b6841007d99417fd34a,1af7870da7c46b6841007d99417fd34a,,immigration_stacked.rds
replication_archive/jacobsenS7_stacked.rds,3301967,doi:10.7910/DVN/4WNGEJ/XYODDU,43576,3e780dc318f5790dc8c2615401c80bd4,3e780dc318f5790dc8c2615401c80bd4,,jacobsenS7_stacked.rds
replication_archive/melloS6_stacked.rds,3301955,doi:10.7910/DVN/4WNGEJ/BQCPSO,49805,27dd0340b5e5e1f9569a548a6db135f8,27dd0340b5e5e1f9569a548a6db135f8,,melloS6_stacked.rds
replication_archive/mental_illness_stacked.rds,3301977,doi:10.7910/DVN/4WNGEJ/EJLRTF,1643758,6ca08ed6ed0a66ecb679ae139066c434,6ca08ed6ed0a66ecb679ae139066c434,,mental_illness_stacked.rds
replication_archive/parmerS15_stacked.rds,3301947,doi:10.7910/DVN/4WNGEJ/XXF6CQ,35698,25183b2864a6ac700e1edc84b7142677,25183b2864a6ac700e1edc84b7142677,,parmerS15_stacked.rds
replication_archive/patriot_act_stacked.rds,3301941,doi:10.7910/DVN/4WNGEJ/LUBM5O,609260,61b2631a1a1286d7d2d021e64d6537c4,61b2631a1a1286d7d2d021e64d6537c4,,patriot_act_stacked.rds
replication_archive/pedullaS18_stacked.rds,3301948,doi:10.7910/DVN/4WNGEJ/UDRRSK,31969,552b6e7f4ffe6114fcad1bbec02b2980,552b6e7f4ffe6114fcad1bbec02b2980,,pedullaS18_stacked.rds
replication_archive/piazzaS8_stacked.rds,3301943,doi:10.7910/DVN/4WNGEJ/4C5ZJK,43359,1405994c3fea593ca39290206d412fae,1405994c3fea593ca39290206d412fae,,piazzaS8_stacked.rds
replication_archive/polarization_stacked.rds,3301971,doi:10.7910/DVN/4WNGEJ/8JZOFP,3470858,bdfbbcf4f14e2f945c86a3701d10e322,bdfbbcf4f14e2f945c86a3701d10e322,,polarization_stacked.rds
replication_archive/shaferS9_stacked.rds,3301965,doi:10.7910/DVN/4WNGEJ/3QY1F1,55188,a07d5bf42d034e24ab46e02c1b26f6b4,a07d5bf42d034e24ab46e02c1b26f6b4,,shaferS9_stacked.rds
replication_archive/study_table.tex,3301951,doi:10.7910/DVN/4WNGEJ/TM3AUM,2367,60f13561b44047b3cede081614be8b1e,60f13561b44047b3cede081614be8b1e,,study_table.tex
replication_archive/superordinate_id_stacked.rds,3301944,doi:10.7910/DVN/4WNGEJ/WMP8HG,136837,5ce3946a190f1c07efc6925001e3abc9,5ce3946a190f1c07efc6925001e3abc9,,superordinate_id_stacked.rds
replication_archive/system_threat_stacked.rds,3301970,doi:10.7910/DVN/4WNGEJ/SUXVAL,260749,05c683d0333845694bc80de75c6d8c15,05c683d0333845694bc80de75c6d8c15,,system_threat_stacked.rds
replication_archive/thompsonS10_stacked.rds,3301957,doi:10.7910/DVN/4WNGEJ/5SQUKG,39561,bc7a20d4856697227a6148a8d8cf2b7d,bc7a20d4856697227a6148a8d8cf2b7d,,thompsonS10_stacked.rds
replication_archive/turagaS11_stacked.rds,3301939,doi:10.7910/DVN/4WNGEJ/FZTDNH,39453,ba808285b4ebc5df30fc427f64519dd5,ba808285b4ebc5df30fc427f64519dd5,,turagaS11_stacked.rds
replication_archive/wallaceS12_stacked.rds,3301978,doi:10.7910/DVN/4WNGEJ/0OJ9E0,59625,d10bdf31cdbb4482e9b66c9dad65bc45,d10bdf31cdbb4482e9b66c9dad65bc45,,wallaceS12_stacked.rds
